census_tract,ces_30_score,ozone,pm25,diesel_pm,drinking_water,pesticides,tox_release,traffic,cleanup_sites,groundwater_threats,haz_waste,imp_water_bodies,solid_waste,pollution_burden_score,asthma,low_birth_weight,cardiovascular_disease,education,poverty,unemployment,housing_burden,hispanic,white,african_american,native_american,asian_american,other,pct_nonwhite
6019001100,94.0902462052279,0.064888548,15.4,48.52380944,681.195604236809,2.749603713,18551.95719,909.14,80.5,45.75,0.795,0,21.75,9.84876281959245,131.64,7.44,14.13,53.3,76.3,17.6,26.0,65.3,4.2,24.6,0.5,3.5,1.8,95.7
6071001600,90.6778394878377,0.062162956,13.31,38.55633868,904.657602541757,1.365359939,7494.236622,782.26,66.2,36.0,1.25,5,12.0,10.0,60.66,7.04,12.94,53.3,72.5,12.3,34.1,91.1,5.8,0.7,0.3,1.4,0.7,94.2
6019000200,85.9700359473448,0.062162956,15.4,47.44520804,681.195604236809,3.025629449,12454.94841,576.52,22.0,30.25,0.2,0,2.5,8.76465914730298,142.12,10.16,14.96,42.3,86.8,16.1,40.1,63.6,5.3,18.9,0.6,9.8,1.8,94.69999999999999
6077000801,82.4915205136136,0.046178296,12.54,24.11703633,278.756234647944,12.92626641,2387.782922,1305.01,50.1,132.1,0.795,19,27.0,9.17439005193763,142.17,6.23,14.72,40.8,61.3,19.6,21.1,57.4,6.0,12.5,0.3,20.9,2.8,93.89999999999999
6019001500,82.0308144614382,0.064888548,15.4,18.84594442,1000.2407938826,3518.413336,21790.70672,435.16,60.0,54.2,13.1,0,50.8,9.87807528496129,90.48,4.5,12.82,45.1,66.4,18.6,28.1,71.8,21.4,1.2,0.5,4.5,0.6,78.6
6037204920,80.7268722322429,0.046178296,12.89,56.52,714.47775890416,0.0,39040.17995,2943.44,36.7,25.0,4.93,7,3.85,9.45123842883366,68.74,7.35,10.4,53.1,66.4,11.6,22.0,98.1,1.2,0.1,0.1,0.2,0.3,98.79999999999998
6077000300,80.1789353864825,0.046178296,13.44,21.76038868,278.756234647944,172.4887379,707.5361575,885.52,89.7,149.05,0.135,14,2.3,8.40907881154003,169.56,8.36,12.7,46.0,76.2,14.4,24.3,51.8,16.4,16.4,1.3,9.9,4.1,83.49999999999999
6019001000,80.1348189617616,0.064888548,15.4,20.84831104,788.020248642287,1435.925031,6996.962409,243.54,15.45,20.0,0.0,0,10.0,8.23836325810747,142.28,7.83,14.96,47.4,74.5,20.0,31.8,52.7,2.7,28.7,0.4,14.3,1.2,97.30000000000001
6037206050,79.0252930058675,0.046178296,12.89,53.95780342,664.069078404159,0.0,10378.23648,2810.82,36.05,16.25,10.025,7,22.1,9.49547594941405,58.03,6.71,7.24,50.4,75.7,28.5,31.7,79.3,8.9,4.1,0.1,7.2,0.5,91.19999999999999
6019000400,78.5298504069111,0.064888548,15.4,54.35615906,681.195604236809,114.9596205,125383.892,815.36,15.95,13.5,0.755,0,0.5,9.101830483351,107.8,4.79,14.75,52.5,83.4,23.5,23.2,78.0,9.1,5.8,0.8,5.3,0.9,90.8
6099002100,78.5181409929464,0.053108966,12.89,24.58528557,826.142178519349,14.38347482,1033.797912,606.03,30.0,9.55,2.62,7,3.5,8.85802262485235,94.54,5.37,13.59,52.3,78.3,19.3,24.8,66.5,25.6,2.4,0.9,2.2,2.5,74.50000000000001
6029002500,78.4130559443127,0.064888548,19.18,20.4197843,1041.62196545901,3.466038086,49.70815719,675.16,42.4,46.25,10.26,0,13.6,8.70105307025667,89.83,6.28,11.77,41.3,73.8,28.5,26.8,76.7,5.1,15.9,0.7,0.4,1.2,94.90000000000002
6019000600,78.407309480949,0.064888548,15.4,54.2428129,681.195604236809,88.57778328,7030.451231,591.37,5.7,8.0,0.46,0,1.25,8.41445626684145,118.86,7.87,10.12,46.9,89.5,21.7,40.3,70.8,15.2,6.8,0.7,4.4,2.2,84.9
6019001201,78.048291039754,0.064888548,15.4,27.56479887,681.195604236809,0.0,19782.60168,347.88,98.65,71.8,4.275,0,20.0,8.71184936616581,89.51,5.28,12.74,52.3,70.7,20.1,31.2,83.1,5.1,3.7,0.7,6.6,0.8,94.89999999999999
6037205120,78.04368514444,0.046178296,12.89,50.07529908,664.069078404159,0.0,19178.66447,887.21,49.45,37.25,17.72,7,14.75,9.31369658192651,68.74,5.14,10.4,61.4,78.3,16.9,24.6,96.5,0.8,1.0,0.1,1.1,0.4,99.1
6019000902,77.6512102748134,0.064888548,15.4,47.94306919,681.195604236809,683.8111313,25476.58305,170.75,12.1,3.0,0.01,0,4.25,7.97516251850565,142.28,9.24,14.96,53.8,77.5,21.8,21.1,57.9,1.5,21.3,0.3,17.7,1.3,98.5
6037291220,77.4977633137772,0.044311971,12.05,27.16,695.72427971225,68.62502625,8937.64998,2467.25,17.4,65.55,0.855,18,3.45,9.85258072918796,66.49,6.54,8.87,31.4,53.4,8.9,37.3,65.1,4.5,11.5,0.1,17.0,1.7,95.39999999999999
6019001202,77.4057857076129,0.064888548,15.4,27.69926737,947.440029851002,11.74484277,8837.26905,291.45,30.5,38.25,4.28,0,23.0,9.35337692499643,78.61,4.94,11.16,51.6,77.8,21.6,30.2,72.5,2.5,11.7,0.4,12.3,0.6,97.5
6019000800,77.3991337373055,0.062162956,15.4,13.16316598,784.333099567035,1031.87455,7265.254475,127.2,22.0,15.0,0.1,0,7.0,8.06774902780728,142.28,8.9,14.96,44.3,76.5,18.5,26.8,66.9,4.0,6.2,0.6,20.9,1.3,95.89999999999999
6019000300,76.71244568056,0.064888548,15.4,53.06613317,681.195604236809,26.77793775,35783.10251,434.57,23.5,24.0,0.01,0,1.0,8.27349369847,142.28,8.12,14.96,28.2,78.7,11.5,32.0,62.8,3.4,25.7,0.9,5.8,1.4,96.60000000000001
6037239202,76.0434259278382,0.046178296,12.47,26.33,782.477603586435,0.0,4808.807974,930.42,145.8,29.85,0.485,0,15.0,8.14885514843352,91.39,7.0,12.62,51.4,76.3,13.6,38.7,82.6,0.7,16.1,0.0,0.0,0.6,99.29999999999998
6037226002,76.0364294112843,0.046178296,12.89,46.14155546,664.069078404159,0.0,6139.175596,1929.83,57.35,22.3,8.24,7,30.3,9.42768143154309,149.88,5.71,8.24,38.7,65.3,11.1,24.2,49.8,22.7,18.3,0.4,6.7,2.2,77.4
6077000700,76.0205580354035,0.046178296,13.5,22.05492215,278.756234647944,73.12628737,810.2517341,1022.65,74.75,102.6,0.1,14,13.55,8.71164619746993,123.86,4.25,13.58,55.8,79.5,16.5,31.9,74.4,4.0,4.8,0.3,14.3,2.2,96.0
6019000901,75.8642163582898,0.064888548,15.4,47.24005424,681.195604236809,699.8895835,13674.44729,195.77,14.2,10.0,0.0,0,6.0,8.24211998907839,142.28,9.09,14.96,52.5,80.8,26.2,12.1,54.4,3.6,21.9,0.1,18.5,1.5,96.39999999999999
6077000100,75.5398398582312,0.046178296,13.53,19.7345632,278.756234647944,18.63744226,629.2738636,495.25,60.7,96.85,0.15,14,7.5,8.02627657491812,176.3,6.53,10.87,36.3,86.0,30.8,36.5,51.9,17.0,15.2,1.0,11.9,3.1,83.1
6099002302,75.1923712728496,0.053108966,12.89,22.8352461,819.971879250017,19.78048128,658.156468,910.22,1.9,7.8,1.085,7,1.75,8.16474144353631,95.77,5.42,15.79,58.0,73.5,24.1,31.0,76.1,18.4,1.5,0.6,2.3,1.1,81.59999999999998
6071004900,74.9513451005299,0.064888548,12.47,32.45472677,854.915999525407,0.0,1111.567743,847.17,18.6,2.0,2.3,1,3.5,7.88561942695588,121.39,5.97,15.23,59.0,74.0,20.0,30.7,86.6,6.6,4.6,0.3,0.8,1.0,93.29999999999998
6037535400,74.4611600057381,0.044311971,12.05,25.04,777.348096415284,0.0,5904.681637,1094.36,92.55,51.5,0.7,0,27.2,8.25028420081519,88.42,5.27,12.7,59.7,75.4,17.9,39.6,86.4,1.1,11.9,0.0,0.1,0.5,98.9
6019000700,74.159502048296,0.062162956,15.4,19.62113434,681.195604236809,20.93860712,7246.016392,438.28,19.5,9.5,0.075,0,8.25,7.97600986089276,142.18,9.84,14.94,39.2,65.6,11.5,29.2,61.7,4.2,29.0,0.5,2.8,1.8,95.8
6019007100,73.780524772568,0.064888548,15.82,15.22674916,650.995349057627,388.5051094,735.6523341,543.06,27.4,33.0,0.425,0,9.1,8.51407493298563,101.34,5.92,11.65,56.6,71.2,15.3,17.0,87.8,7.3,1.1,0.4,2.6,0.8,92.69999999999999
6037243100,73.5392853207954,0.044311971,12.05,25.04,664.069078404159,0.0,5852.275263,2521.07,25.25,12.15,0.555,0,3.7,7.70465505386404,105.29,9.99,11.72,60.8,76.0,15.0,35.9,64.7,1.8,31.8,0.2,0.4,1.0,98.10000000000001
6037543305,73.5355934329444,0.042298794,11.63,31.19783973,383.104506477941,36.20032459,6896.098953,1418.39,53.0,149.5,2.675,13,10.75,9.34138196224654,106.87,10.0,12.47,19.7,34.1,12.1,30.6,27.2,26.9,37.3,0.6,5.2,2.9,73.2
6071005701,73.2757796309192,0.064888548,12.05,38.37,571.384599322465,0.0,707.1247544,747.98,50.8,2.0,2.5,1,6.0,7.6187527929561,131.79,8.97,18.3,42.2,89.3,17.4,19.8,59.3,19.2,11.9,1.0,6.7,1.9,80.80000000000001
6037204600,73.1296791519743,0.046178296,12.89,54.19404577,664.069078404159,0.0,10365.37086,2937.84,3.75,8.3,1.7,7,4.55,8.56835494556274,73.07,5.81,9.25,53.4,71.0,14.9,33.7,96.3,1.8,0.4,0.2,1.1,0.2,98.2
6037227010,72.6751294964742,0.046178296,12.89,42.59402172,664.069078404159,0.0,6136.500335,982.78,57.8,3.55,1.54,7,18.2,8.64160528643633,64.02,6.04,9.65,62.1,72.2,11.8,42.1,92.1,0.6,7.1,0.1,0.0,0.2,99.49999999999999
6099002301,72.388602592164,0.053108966,12.89,17.54621829,1131.89580149173,840.8855315,593.611198,1090.88,1.4,8.1,0.05,7,3.2,8.09366912746418,79.42,5.5,12.24,45.6,65.6,23.4,38.7,74.4,15.6,2.4,0.7,5.0,2.0,84.50000000000001
6077001900,71.8927536326129,0.046178296,13.61,20.70260662,592.208015961933,17.92748495,582.0127436,824.07,17.5,68.1,0.0,13,11.25,8.22292417560785,94.01,5.1,12.91,53.5,75.5,15.6,26.2,74.1,7.7,10.9,0.5,4.5,2.4,92.4
6037206032,71.5647433016312,0.046178296,12.89,62.68,664.069078404159,0.0,7806.44435,2658.05,78.5,15.55,1.105,7,6.5,9.24899148705328,95.89,4.17,10.33,42.7,69.2,8.2,37.2,80.3,2.0,1.2,0.2,15.5,0.7,97.9
6037226001,71.5319671769342,0.046178296,12.89,41.68431217,664.069078404159,0.0,5941.164907,2289.68,55.6,4.6,3.55,7,24.7,9.03486733599888,87.25,6.16,9.3,59.2,79.3,4.1,24.2,89.1,1.7,6.1,0.2,2.6,0.2,98.19999999999999
6037239501,71.3555626164565,0.046178296,12.05,26.33,664.069078404159,0.0,5153.308202,1289.16,22.7,14.5,0.675,0,4.75,7.74016514483035,72.52,7.41,10.79,50.4,72.2,17.6,35.8,74.8,0.7,24.0,0.0,0.1,0.3,99.19999999999999
