STATE,YEAR,ENROLL,TOTAL_REVENUE,FEDERAL_REVENUE,STATE_REVENUE,AVG_MATH_4_SCORE,AVG_MATH_8_SCORE,AVG_READING_4_SCORE,AVG_READING_8_SCORE,FED_PER_STUDENT,STATE_PER_STUDENT,TOTAL_PER_STUDENT,PCT_IN_POVERTY,PCT_WITH_BA
AL,2007,743273.0,7069040.0,689072.0,4070949.0,228.52001796592498,266.000109919931,216.38895388449,265.641981716133,927.0779377160209,5477.057554895711,9510.691226507624,14.5,22.6231523
AK,2007,132197.0,1800616.0,282270.0,1052357.0,237.27389321932486,282.557154120707,214.476954408027,266.917617143622,2135.2224331868347,7960.521040568244,13620.702436515201,7.6,25.102334600000002
AZ,2007,969875.0,8724434.0,953861.0,4204089.0,231.93693354533798,275.548426408372,209.520624281702,254.799747493408,983.4885938909654,4334.670962752933,8995.421059414874,14.3,27.1809099
AR,2007,474532.0,4415981.0,483689.0,3319030.0,237.670687444943,273.89986215628,217.027817745061,265.812615742952,1019.2969072686352,6994.3228275437705,9305.970935574418,13.8,19.656458899999997
CA,2007,6288686.0,72516936.0,7200298.0,42333637.0,230.034091233638,270.381784005669,208.52218596154998,268.159428117446,1144.9606483771013,6731.7142245613795,11531.333572705014,12.7,32.846728399999996
CO,2007,790211.0,7689014.0,529854.0,3307016.0,240.205890246617,286.19275616634104,223.73265289646199,251.93688143753602,670.5221769881715,4184.978442466632,9730.330253565187,9.8,38.160498
CT,2007,549230.0,8913149.0,386553.0,3299175.0,242.755646830159,282.472790062009,227.203649213779,258.798455932602,703.8089689201248,6006.90967354296,16228.445277934561,8.9,41.41540550000001
DE,2007,114678.0,1694929.0,102114.0,1071957.0,241.794894891207,282.992082743316,225.07054230184897,254.82879235400398,890.4410610579187,9347.538324700468,14779.896754390556,9.3,28.9400137
FL,2007,2656176.0,28898362.0,2489027.0,11578932.0,242.02025001893003,277.383497256758,223.534926816656,251.287791535591,937.0715645348802,4359.248784719085,10879.68643644096,12.5,29.5848785
GA,2007,1628409.0,17755989.0,1475463.0,7907177.0,235.209017091471,274.778664644925,218.888171260588,266.407881623504,906.0764218325986,4855.768421815405,10903.887782491993,13.6,31.2239724
HI,2007,180728.0,2985593.0,256696.0,2681049.0,234.286134982354,268.77201335193297,213.496554967804,267.055691390062,1420.3443849320527,14834.718471957858,16519.814306582266,7.5,28.368876600000004
ID,2007,262935.0,2011951.0,202977.0,1338182.0,240.90284353732,283.507595771493,223.404065315834,264.544830664544,771.9664555878827,5089.402323768231,7651.894955026908,9.9,27.412313899999997
IL,2007,2101075.0,23897153.0,1862627.0,7566377.0,237.28704131937096,280.497096028329,219.386811378061,240.793624795109,886.5114286734172,3601.1931987197027,11373.774377402046,10.0,35.072019899999994
IN,2007,1034588.0,10458932.0,765168.0,5224450.0,245.14425495640305,285.007210900174,221.673092302826,272.692552866005,739.5871593329906,5049.787934907422,10109.272483346027,11.8,22.8842905
IA,2007,483122.0,5194536.0,390585.0,2279228.0,242.819589303779,285.226903146597,224.89479538694698,259.790720651776,808.460388887279,4717.70691460956,10752.017088851262,8.9,28.6190648
KS,2007,468974.0,5038100.0,346441.0,2889107.0,247.923654192161,290.03259982925704,224.65836220092098,258.70499279234,738.7211231326257,6160.484376532601,10742.81303441129,11.7,35.7740568
KY,2007,646360.0,6226696.0,677570.0,3557084.0,235.087920190601,278.704749914375,222.432314246177,251.33081069192403,1048.2857850114488,5503.2551519277185,9633.47979454174,15.5,25.748789100000003
LA,2007,662302.0,7048732.0,1234006.0,2911249.0,230.043119251121,272.386299598469,207.40680552969897,264.88634244604697,1863.2074189720101,4395.651832547689,10642.776256149007,16.1,28.9605963
ME,2007,193539.0,2538161.0,198101.0,1081891.0,242.370603982666,286.47225311598703,225.54404578474097,262.826617097915,1023.5714765499459,5590.041283668925,13114.467885025757,10.9,30.152817600000002
MD,2007,851640.0,11674965.0,661677.0,4684827.0,240.32823069137902,285.734265236821,224.78126512650798,264.095960900362,776.9444835846132,5500.94758348598,13708.8030153586,8.8,36.1976574
MA,2007,945070.0,14407777.0,754202.0,6485380.0,252.430319790792,297.923344483955,235.753462061818,267.450719560442,798.03824055361,6862.327658268698,15245.195593977163,11.2,52.656903099999994
MI,2007,1686473.0,20576110.0,1541818.0,11383198.0,237.605553465148,276.830517083696,220.11845283265,267.413790936682,914.226317290582,6749.706636275826,12200.675611171955,10.8,29.4556412
MN,2007,810104.0,9693509.0,546297.0,6267386.0,246.997762406425,291.85111653854,224.917004310155,261.96595099365396,674.3541569971262,7736.5202492519475,11965.758717399249,9.3,39.694594
MS,2007,494135.0,4220926.0,712846.0,2214700.0,227.612377077088,264.890918700127,207.809518812675,253.23829428128897,1442.613860584658,4481.973549738432,8542.050249425765,22.6,24.3820045
MO,2007,910142.0,8908844.0,730811.0,3641310.0,239.411102894897,280.619538285703,220.776827870135,269.920153818638,802.9637133546195,4000.8152573993934,9788.411039156526,12.8,30.584259499999998
MT,2007,144258.0,1474306.0,190631.0,702476.0,243.618811261651,287.07552895369497,226.66653258748403,265.240121492132,1321.4587752498994,4869.5808897946745,10219.92541141566,13.0,32.4774082
NE,2007,287135.0,3234014.0,298196.0,992032.0,238.040808639328,283.65059864617297,222.902554305927,273.284048809294,1038.5219496055859,3454.932348895119,11263.043516116111,9.9,29.5161619
NV,2007,422782.0,4006081.0,277849.0,2266751.0,231.781600510466,270.80402437492296,210.819009123413,260.31770609297297,657.1921226542286,5361.512552568463,9475.524028932168,9.7,23.7531865
NH,2007,198625.0,2600123.0,137058.0,936882.0,248.571526557139,287.55706095499403,229.01717335240897,268.197442761373,690.0339836375077,4716.838263058527,13090.612964128379,5.8,36.792088799999995
NJ,2007,1363804.0,25293076.0,991769.0,10101279.0,248.621522373251,288.583451449458,230.64697200838,250.063570104392,727.2078685793559,7406.694070408947,18545.975814706508,8.7,43.3317995
NM,2007,327816.0,3272953.0,444466.0,2360542.0,228.06431284199505,267.53807866263304,211.631884615174,263.442315999206,1355.8398613856552,7200.813871196037,9984.116089513627,14.0,23.2816154
NY,2007,2754976.0,50762544.0,3269310.0,22845772.0,242.54301817964298,280.14117723747603,223.75202728955898,270.937849960978,1186.6927334394204,8292.548465032001,18425.766322465242,14.5,36.124507799999996
NC,2007,1416028.0,13063307.0,1184934.0,7481148.0,241.617994022296,283.880668759806,217.934042613497,267.030850555401,836.8012496928027,5283.192140268413,9225.316872265235,15.5,29.4283468
ND,2007,96577.0,1045678.0,150165.0,355662.0,245.415854173904,291.561611918756,226.325481086957,252.348473866768,1554.873313521853,3682.6780703480126,10827.401969413007,9.3,32.846973899999995
OH,2007,1758645.0,22142424.0,1461326.0,9341723.0,244.532731712557,284.851639473941,225.666987806902,269.734588561039,830.9385919273077,5311.886708232759,12590.61607089549,12.8,27.8342201
OK,2007,639032.0,5491931.0,650579.0,2782356.0,236.80219418762002,274.534989354995,216.955654036521,270.141550284263,1018.0695176454387,4354.0167002591415,8594.140825498567,13.4,25.6453509
OR,2007,559643.0,5648586.0,526411.0,2908595.0,236.039657297687,283.826277204194,215.01732344376998,250.75317445252998,940.6192876530217,5197.232878817389,10093.195126178653,12.8,32.461078300000004
