STATE,YEAR,ENROLL,TOTAL_REVENUE,FEDERAL_REVENUE,STATE_REVENUE,AVG_MATH_4_SCORE,AVG_MATH_8_SCORE,AVG_READING_4_SCORE,AVG_READING_8_SCORE,FED_PER_STUDENT,STATE_PER_STUDENT,TOTAL_PER_STUDENT,PCT_IN_POVERTY,PCT_WITH_BA
AL,2003,727900.0,5196054.0,567704.0,2966981.0,223.344642639352,261.939022225118,207.083847576707,261.87087212251,779.9203187250996,4076.083253194121,7138.4173650226685,15.0,23.906618100000006
AK,2003,133303.0,1425948.0,259423.0,813371.0,232.99165432133597,279.02506986523105,211.54715356915298,268.772420626961,1946.115241217377,6101.670630068341,10697.043577413862,9.6,21.6088923
AZ,2003,875111.0,6529894.0,740579.0,2912629.0,228.91139607018397,271.177350478914,208.87280135481998,267.80896673815397,846.268644777634,3328.296638940661,7461.789418713742,13.5,26.8599131
AR,2003,450158.0,3241275.0,379947.0,2394336.0,229.00658865624402,265.77158934307596,213.615304459937,264.656551932316,844.0303182438167,5318.8791490987605,7200.3052261650355,17.8,18.9714533
CA,2003,6226552.0,59815855.0,5795655.0,33617766.0,227.45498179673598,267.049500585455,205.632437100793,255.07337956310002,930.7968519334618,5399.098248918503,9606.577605069386,13.1,29.6894531
CO,2003,751049.0,6297242.0,400219.0,2715219.0,235.19311612499598,283.399858481467,223.66098196102797,266.228560789199,532.880011823463,3615.235490627109,8384.595412549646,9.7,36.3115152
CT,2003,548466.0,6959891.0,351001.0,2481901.0,240.61524163452304,283.729811207579,228.340614955382,268.124234884295,639.9685668756131,4525.168378714451,12689.740111511015,8.1,35.675771399999995
DE,2003,111282.0,1242436.0,91986.0,794472.0,235.859424549367,277.158368932433,223.928811406218,253.172593739071,826.602685070362,7139.267806114196,11164.752610485075,7.3,30.1490689
FL,2003,2536699.0,19549835.0,1956803.0,8689141.0,233.72881145807003,271.371490239171,218.014488158342,255.320115210993,771.3973948032464,3425.3732902484685,7706.801240509811,12.7,28.9264382
GA,2003,1495819.0,13524807.0,1051973.0,6551699.0,230.254976798559,269.677009232403,213.597219332523,257.998089007686,703.2755968469447,4380.0078752843765,9041.74034425288,11.9,26.875629800000002
HI,2003,183829.0,2078877.0,170377.0,1873318.0,226.834610206384,265.728581015081,208.259567530742,251.007500405859,926.8232977386592,10190.546649331716,11308.754331471097,9.3,29.0239831
ID,2003,248515.0,1685984.0,162530.0,994022.0,234.943764703458,279.939266837246,218.25988551638,267.592640864405,654.0047884433535,3999.8470917248455,6784.234352051184,10.2,24.3168315
IL,2003,2062664.0,19627346.0,1618724.0,6792637.0,232.856775292011,277.16008095632196,216.3042879829,267.218075351081,784.7734774059178,3293.1379032164227,9515.532340701153,12.6,32.4996017
IN,2003,999713.0,8246076.0,582940.0,4569923.0,237.96827988706286,281.220939756711,220.40649112667901,264.532051451005,583.1073518099694,4571.234944429051,8248.443303228025,9.9,24.991809
IA,2003,482210.0,4374803.0,304688.0,1974708.0,238.476694547401,283.95334474435504,223.271129818993,238.700733278197,631.8574894755396,4095.12038323552,9072.40206549014,8.9,29.093124
KS,2003,470264.0,4068800.0,311152.0,2397661.0,241.74736576191398,284.19108805230303,220.14322971260398,271.790968707121,661.6538795229914,5098.542520796829,8652.161339162683,10.8,34.607844799999995
KY,2003,660782.0,4872025.0,503734.0,2904331.0,228.72634325953098,274.278472166639,219.044417325545,257.30131978689604,762.3300876839868,4395.2937580018815,7373.120030509305,14.4,23.471262799999998
LA,2003,723252.0,5478321.0,739078.0,2638985.0,226.247729119261,266.328359269062,204.729487524848,257.714824971911,1021.8817231061928,3648.7766366356404,7574.567370708963,17.0,24.6403058
ME,2003,203848.0,2162605.0,163516.0,874208.0,237.61571038162498,281.903773320764,223.85949380546901,251.284801856226,802.1466975393431,4288.5287076645345,10608.909579686826,11.6,24.678355600000003
MD,2003,866743.0,8700979.0,571108.0,3317403.0,233.079852288453,277.71611251073995,218.67375979261502,264.439775716816,658.9127342245625,3827.4355835582173,10038.706975424087,8.6,39.13437570000001
MA,2003,967200.0,11591832.0,712487.0,4757632.0,241.664527429109,286.52069448017,227.604259402914,266.408968905567,736.6490901571547,4918.974358974359,11984.937965260548,10.3,45.34165779999999
MI,2003,1764327.0,18488359.0,1357006.0,11227903.0,235.68697467413898,276.441861597672,218.789056709096,264.832532267553,769.1351999941054,6363.844684120348,10478.98660509078,11.4,26.4832825
MN,2003,825674.0,8484497.0,463746.0,6064474.0,241.91229558307705,290.680055978624,222.608962298108,267.5048316647,561.6575064734992,7344.877033792998,10275.843734936549,7.4,37.4414997
MS,2003,491623.0,3260771.0,482904.0,1754451.0,222.890600506289,260.911933580199,205.46440681013001,266.011689626198,982.2648655575513,3568.6918634807566,6632.665680816398,16.0,21.5595582
MO,2003,921625.0,7622601.0,559732.0,3430809.0,234.836425354607,278.766250348876,222.260230125215,266.191435227824,607.3316153533161,3722.56503458565,8270.82707174827,10.7,31.9867326
MT,2003,149801.0,1205602.0,171819.0,553269.0,235.75491526568905,285.928022552419,222.74654162772703,253.448288243581,1146.9816623387026,3693.359857410832,8048.023711457198,15.1,24.1978429
NE,2003,283934.0,2600831.0,225861.0,878715.0,236.254108414529,282.19375596569597,220.61180206660597,268.323265177592,795.4700740312891,3094.7861122655268,9159.984362563133,9.8,30.5313411
NV,2003,369498.0,2778564.0,191839.0,1663026.0,227.513598313738,268.04313771367,206.959682725248,261.59573193942504,519.1881958765676,4500.771316759496,7519.835019404706,10.9,17.834616
NH,2003,203702.0,2028602.0,101294.0,957471.0,243.11014219523705,286.198468660005,227.789508496749,272.90664505005697,497.265613494222,4700.351493848857,9958.674927099391,5.8,35.230647
NJ,2003,1350330.0,19785039.0,797717.0,8135014.0,238.776541201516,281.40711990453605,225.07332803577003,264.37829249338796,590.7570741966779,6024.463649626386,14652.00284374931,8.6,40.4855451
NM,2003,320264.0,2626262.0,383513.0,1905419.0,222.51800923908297,263.27290665162496,203.185312558191,267.711358412271,1197.4901955886396,5949.52601603677,8200.303499612819,18.1,17.0099953
NY,2003,2879228.0,38033080.0,2591430.0,17509618.0,235.930075481869,279.749257044273,222.18820710677602,255.010828024612,900.0433449521886,6081.358614184081,13209.47142775772,14.3,33.2810352
NC,2003,1314632.0,9907235.0,888996.0,5970302.0,242.04012560616403,281.240350571106,221.220579655011,267.363673296442,676.2318276141156,4541.424520322037,7536.127981062382,15.7,28.690891399999995
ND,2003,103785.0,882913.0,126023.0,306647.0,237.57738683297904,287.14464048292,221.642245735878,269.833415980195,1214.26988485812,2954.6369899311076,8507.134942429058,9.7,27.615964899999998
OH,2003,1803966.0,18018740.0,1097349.0,7844992.0,237.78206789556305,281.607295379003,221.86579907669,266.313690432675,608.2980499632476,4348.7471493365165,9988.403329109307,10.9,30.624039500000002
OK,2003,624202.0,4426835.0,563974.0,2272785.0,229.096621276342,271.905151347835,213.57935707208,252.309915677623,903.5120041268692,3641.104962816524,7091.991054177975,12.8,25.5441381
OR,2003,552135.0,4592019.0,407432.0,2348070.0,236.30590556784,280.892470910844,217.61453525022702,270.734453004041,737.9209794706004,4252.709935070227,8316.840989975277,12.5,24.4293488
PA,2003,1757066.0,19811545.0,1419644.0,6912678.0,235.947017122469,278.537758124922,218.69842753610905,267.786953088416,807.9628198371604,3934.216472232688,11275.356190376455,10.5,30.982217100000003
RI,2003,157286.0,1728055.0,109011.0,713197.0,230.29796199237305,271.998694378475,216.494015184678,251.59915596535402,693.0750352860395,4534.395941151787,10986.70574622026,11.5,31.264009
SC,2003,691736.0,5709707.0,535356.0,2761951.0,235.793223537785,277.300449617316,214.807724490456,265.329794503317,773.9310950998648,3992.781928365735,8254.170666265743,12.7,23.4479162
SD,2003,127632.0,965778.0,148498.0,328576.0,237.26482055278802,284.881736383978,222.27317857721198,261.71164481782,1163.4856462329194,2574.401404036605,7566.895449417074,12.7,28.1104877
TN,2003,905050.0,5994756.0,608447.0,2648909.0,227.75504472077301,268.175728562365,211.94754112042,269.73035434547,672.2799845312412,2926.8095685321255,6623.673830175128,14.0,25.9214197
TX,2003,4201914.0,35143236.0,3360082.0,13675228.0,237.305921828857,277.052648954338,214.80800561674096,266.566105917826,799.6551095524562,3254.523533799121,8363.625719136564,17.0,24.7096251
UT,2003,483066.0,2875622.0,263030.0,1607204.0,234.782950865289,280.64536966117,219.270338418871,261.719961000332,544.501165472213,3327.089880057797,5952.855303416096,9.1,27.4874843
VT,2003,94901.0,1451171.0,79956.0,779124.0,241.92607241845903,285.6455721843,226.121746629112,264.025569883652,842.5200998935733,8209.860802309775,15291.419479246797,8.5,30.7349575
VA,2003,1175458.0,10504167.0,698716.0,4087720.0,239.20308912003503,281.676643366069,223.340359189755,264.267365101484,594.420217481186,3477.555131701856,8936.233366058166,10.0,36.377541
WA,2003,1014577.0,8565636.0,702469.0,5334268.0,238.292839469301,281.151364414263,221.096695134157,260.879572089782,692.3762316709327,5257.627563013946,8442.568676404058,12.6,25.491571800000006
WV,2003,281591.0,2497707.0,267470.0,1519848.0,230.767748452518,270.770353447282,219.179524491303,258.08899144280497,949.852800693204,5397.360000852301,8869.98164003821,17.4,19.4794719
WI,2003,875390.0,8931497.0,530014.0,4838109.0,236.75541398272597,283.91586565449404,220.833427555838,269.97105860956503,605.4604233541621,5526.8040530506405,10202.877574566764,9.8,26.039330800000002
WY,2003,85966.0,962240.0,84308.0,489199.0,241.08570064627887,283.50334994463,222.075166369555,258.10836458389,980.7133052602193,5690.610241258172,11193.262452597539,9.8,22.059570000000004
AL,2005,729342.0,5889966.0,665924.0,3247562.0,225.07123624126496,262.211100048323,207.75203301297,273.045757236707,913.0476511705072,4452.7286238828965,8075.725791192609,16.7,23.2689966
AK,2005,132568.0,1599739.0,302846.0,878731.0,235.51070553974498,278.958709394219,211.06131857044997,266.87873748607603,2284.4577877014067,6628.530263713717,12067.308852815158,10.0,26.363494899999996
AZ,2005,919875.0,7550109.0,897553.0,3320196.0,229.80067307133098,274.305090048274,207.14273663584,264.947778144606,975.7336594646013,3609.3991031390137,8207.755401549124,15.2,26.260531800000006
AR,2005,461667.0,3978240.0,447012.0,2995788.0,235.54546696397998,271.636348366415,217.071528896937,254.99855238547798,968.2563406091404,6489.066794897621,8617.120132043226,13.8,21.602724399999996
CA,2005,6307022.0,62171797.0,7148863.0,34912166.0,230.36695749900002,268.558128581435,206.512026480797,264.184509633385,1133.4767819107021,5535.443827530648,9857.551947654536,13.2,30.4660005
CO,2005,765388.0,6910296.0,472246.0,2954915.0,239.21587446297997,280.824007310133,223.65613000374802,266.22554358249,617.0020956691246,3860.675892488516,9028.487512216028,11.4,37.9682795
CT,2005,552512.0,7898694.0,401558.0,2886076.0,242.12073236174197,281.068953005311,225.753019686927,251.978391189903,726.7860245569327,5223.5535155797525,14295.968232364185,9.3,39.381997999999996
DE,2005,112562.0,1431710.0,106513.0,894498.0,239.71691237716598,280.95354283122003,225.83845909292003,258.721274696008,946.2607274213324,7946.7138110552405,12719.3013628045,9.2,29.811981300000003
FL,2005,2645280.0,23216404.0,2328513.0,9940813.0,238.930649601433,274.04837689747995,219.465222176412,257.691731885046,880.251996007984,3757.943582531906,8776.539345551322,11.1,27.552758
GA,2005,1552758.0,14724731.0,1375318.0,6449103.0,233.635737790752,272.191564411022,214.430920543413,250.431056381298,885.7259147916161,4153.32138040828,9482.952913461078,14.4,30.2081687
HI,2005,183185.0,2274166.0,236973.0,1986615.0,230.096875403391,265.629319114115,209.578767644628,264.75810609504504,1293.6266615716354,10844.856292818737,12414.58634713541,8.6,33.0823105
ID,2005,253782.0,1796035.0,192039.0,1023550.0,241.65011574286493,280.966896649599,221.85951138201,264.012759246181,756.708513606166,4033.185962755436,7077.077964552253,9.9,26.5489634
IL,2005,2072437.0,21611180.0,1835598.0,7152163.0,233.067493972686,277.672238913307,216.489719991402,266.00936537348,885.7195659023653,3451.088259860252,10427.906855552184,11.5,33.103241499999996
IN,2005,1014528.0,11653165.0,708922.0,5224277.0,240.06909881046798,281.714945536305,218.072533254427,238.20309296002998,698.7702655816299,5149.465564282109,11486.292147678529,12.6,23.6998714
